/M0/D X,/M0/D Y
0,0
0.036,7.874028315073104e-11
0.07200000000000001,9.603118702181049e-11
0.108,1.035457164799488e-10
0.144,1.088774660000163e-10
0.18,1.132855387975358e-10
0.216,1.171754017172621e-10
0.252,1.207374781283271e-10
0.288,1.240796655003541e-10
0.3240000000000001,1.272697988512389e-10
0.3600000000000001,1.303534320343188e-10
0.3960000000000001,1.333626178232429e-10
0.4320000000000002,1.363207310494333e-10
0.4680000000000002,1.392453202138838e-10
0.5040000000000002,1.42149886891038e-10
0.5400000000000003,1.450450433025183e-10
0.5760000000000003,1.479392910135835e-10
0.6120000000000003,1.508395595104855e-10
0.6480000000000004,1.537515875876948e-10
0.6840000000000004,1.566801989836281e-10
0.7200000000000004,1.596295051801182e-10
0.7560000000000004,1.626030570075221e-10
0.7920000000000005,1.656039595876957e-10
0.8280000000000005,1.686349606374597e-10
0.8640000000000005,1.716985191258729e-10
0.9000000000000006,1.747968592778364e-10
0.9360000000000006,1.779320135661545e-10
0.9720000000000006,1.81105857395111e-10
1.008000000000001,1.843201375389247e-10
1.044000000000001,1.875764959521594e-10
1.080000000000001,1.908764902639437e-10
1.116000000000001,1.942216120509895e-10
1.152000000000001,1.97613303835036e-10
1.188000000000001,2.010529756365278e-10
1.224000000000001,2.045420218315186e-10
1.260000000000001,2.080818389849899e-10
1.296000000000001,2.116738452667367e-10
1.332000000000001,2.153195019916875e-10
1.368000000000001,2.19020337759423e-10
1.404000000000001,2.227779755998127e-10
1.440000000000001,2.265941634630063e-10
1.476000000000001,2.304708083197546e-10
1.512000000000001,2.344100140700073e-10
1.548000000000001,2.384141233888318e-10
1.584000000000001,2.424857635742702e-10
1.620000000000001,2.466278964027335e-10
1.656000000000001,2.50843871942472e-10
1.692000000000001,2.551374862291557e-10
1.728000000000001,2.595130426654257e-10
1.764000000000001,2.639754169745588e-10
1.8,2.685301255093941e-10
